customer_id,meter_id,time_rounded,energy_heat_kwh,volume_flow_m3,inlet_flow_energy_m3xC,back_flow_energy_m3xC
772,660,2019-04-11T21:00:00Z,30833.9518072289,743.288072289157,52542.8554216868,25346.9518072289
772,660,2019-04-11T22:00:00Z,30836.4444444445,743.336,52546.0222222222,25348.8666666667
772,660,2019-04-11T23:00:00Z,30839.7777777778,743.396,52550.6888888889,25350.8666666667
772,660,2019-04-12T00:00:00Z,30841.05,743.441,52553.0833333333,25352.0333333333
772,660,2019-04-12T01:00:00Z,30844.0461538462,743.500769230769,52558.0461538462,25354.0153846154
772,660,2019-04-12T02:00:00Z,30846.8153846154,743.546923076923,52560.8153846154,25354.9384615385
772,660,2019-04-12T03:00:00Z,30849.8,743.606,52565.6666666667,25356.8666666667
772,660,2019-04-12T04:00:00Z,30852.1791044776,743.654776119403,52569.3582089552,25359.1194029851
772,660,2019-04-12T05:00:00Z,30854.8656716418,743.726417910448,52574.7313432836,25360.9104477612
772,660,2019-04-12T06:00:00Z,30858.2777777778,743.794074074074,52579.5555555556,25362.8518518519
772,660,2019-04-12T07:00:00Z,30861.559139785,743.871182795699,52585.1827956989,25364.935483871
772,660,2019-04-12T08:00:00Z,30864.7849462366,743.935698924731,52589.6989247312,25366.8709677419
772,660,2019-04-12T09:00:00Z,30867.7540983607,743.995081967213,52593.6721311475,25369.7540983607
772,660,2019-04-12T10:00:00Z,30871.7931034483,744.085344827586,52600.6379310345,25372.8448275862
772,660,2019-04-12T11:00:00Z,30873,744.12,52603,25374
772,660,2019-04-12T12:00:00Z,30875.9508196721,744.208524590164,52608.9016393443,25376.9508196721
772,660,2019-04-12T13:00:00Z,30877.84375,744.25609375,52611.765625,25377.921875
772,660,2019-04-12T14:00:00Z,30884.6379310345,744.39275862069,52622.4310344828,25382.7413793103
772,660,2019-04-12T15:00:00Z,30886.8387096774,744.455161290323,52626.6774193548,25384.8387096774
772,660,2019-04-12T16:00:00Z,30890.2571428571,744.546,52633.3428571429,25388.1714285714
772,660,2019-04-12T17:00:00Z,30892.8285714286,744.606,52636.7714285714,25389.8857142857
772,660,2019-04-12T18:00:00Z,30894.8360655738,744.674262295082,52641.5901639344,25392.7540983607
772,660,2019-04-12T19:00:00Z,30896.8333333333,744.7075,52643.8333333333,25393.9166666667
772,660,2019-04-12T20:00:00Z,30898.9298245614,744.767894736842,52647.8596491228,25395.9298245614
772,660,2019-04-12T21:00:00Z,30900.8709677419,744.816774193548,52650.8064516129,25396.935483871
772,660,2019-04-12T22:00:00Z,30903.7931034483,744.881149425287,52655.5862068966,25398.7931034483
772,660,2019-04-12T23:00:00Z,30905.8620689655,744.936321839081,52659.724137931,25400.8620689655
772,660,2019-04-13T00:00:00Z,30909,745,52664,25403
772,660,2019-04-13T01:00:00Z,30911.8125,745.065625,52667.75,25404.875
772,660,2019-04-13T02:00:00Z,30913.8666666667,745.126,52672.6666666667,25406.8666666667
772,660,2019-04-13T03:00:00Z,30916.7540983607,745.194262295082,52676.6721311476,25408.8360655738
772,660,2019-04-13T04:00:00Z,30919.7966101695,745.246610169492,52680.7288135593,25410.8644067797
772,660,2019-04-13T05:00:00Z,30922.8,745.315333333333,52685.6666666667,25412.8666666667
772,660,2019-04-13T06:00:00Z,30924.8360655738,745.375081967213,52689.6721311475,25414.8360655738
772,660,2019-04-13T07:00:00Z,30926.8644067797,745.43593220339,52693.7288135593,25416.8644067797
772,660,2019-04-13T08:00:00Z,30928.8360655738,745.476721311476,52696.7540983607,25417.9180327869
772,660,2019-04-13T09:00:00Z,30931.8947368421,745.547543859649,52701.8245614035,25419.9298245614
772,660,2019-04-13T10:00:00Z,30933.9016393443,745.588032786885,52703.9016393443,25421.9016393443
772,660,2019-04-13T11:00:00Z,30935.1690140845,745.624225352113,52707.2535211268,25423.0845070423
772,660,2019-04-13T12:00:00Z,30936.8591549296,745.666478873239,52709.7887323944,25423.9295774648
772,660,2019-04-13T13:00:00Z,30938.8644067797,745.707288135593,52712.7966101695,25424.9322033898
772,660,2019-04-13T14:00:00Z,30942.9882352941,745.799764705882,52719.2352941177,25428.4941176471
772,660,2019-04-13T15:00:00Z,30945.8117647059,745.856235294118,52722.7647058824,25429.9058823529
772,660,2019-04-13T16:00:00Z,30949.6721311475,745.951803278689,52729.4262295082,25432.7540983607
772,660,2019-04-13T17:00:00Z,30950.9482758621,745.988448275862,52731.8965517241,25433.9482758621
772,660,2019-04-13T18:00:00Z,30953.1971830986,746.043943661972,52735.2957746479,25435.1971830986
772,660,2019-04-13T19:00:00Z,30954.8873239437,746.077746478873,52737.8309859155,25436.8873239437
772,660,2019-04-13T20:00:00Z,30956.8360655738,746.135081967213,52741.6721311476,25438.8360655738
772,660,2019-04-13T21:00:00Z,30958.9298245614,746.168947368421,52743.9298245614,25439.9649122807
772,660,2019-04-13T22:00:00Z,30961.6769230769,746.232461538462,52748.4615384615,25441.7846153846
772,660,2019-04-13T23:00:00Z,30962.9298245614,746.277192982456,52750.8596491228,25442.9298245614
772,660,2019-04-14T00:00:00Z,30964.8666666667,746.317333333334,52753.8,25443.9333333333
772,660,2019-04-14T01:00:00Z,30967.8474576271,746.386440677966,52758.7457627119,25445.8983050847
772,660,2019-04-14T02:00:00Z,30968.9344262295,746.418032786885,52760.868852459,25446.9344262295
772,660,2019-04-14T03:00:00Z,30973.0588235294,746.502352941177,52767.1764705882,25450.0588235294
772,660,2019-04-14T04:00:00Z,30973.9411764706,746.537647058824,52769.8235294118,25450.9411764706
772,660,2019-04-14T05:00:00Z,30978.0303030303,746.611515151515,52774.1212121212,25453.0606060606
772,660,2019-04-14T06:00:00Z,30978.9393939394,746.65696969697,52777.7575757576,25454.8787878788
772,660,2019-04-14T07:00:00Z,30982,746.72,52782,25456
772,660,2019-04-14T08:00:00Z,30984.9032258065,746.778064516129,52785.8709677419,25457.935483871
772,660,2019-04-14T09:00:00Z,30987.7619047619,746.844444444445,52790.6031746032,25459.8412698413
772,660,2019-04-14T10:00:00Z,30989.8644067797,746.896610169492,52793.7966101695,25461.8644067797
772,660,2019-04-14T11:00:00Z,30992.8965517241,746.957931034483,52797.8620689655,25462.9655172414
772,660,2019-04-14T12:00:00Z,30996.0298507463,747.021194029851,52803.0597014925,25465.0298507463
772,660,2019-04-14T13:00:00Z,30996.9253731343,747.057014925373,52804.8507462687,25465.9253731343
772,660,2019-04-14T14:00:00Z,30998.8644067797,747.097288135593,52807.7966101695,25467.8644067797
772,660,2019-04-14T15:00:00Z,31002.7966101695,747.185423728814,52813.6949152542,25470.8474576271
772,660,2019-04-14T16:00:00Z,31004.7411764706,747.239764705882,52817.4823529412,25472.4941176471
772,660,2019-04-14T17:00:00Z,31006.8588235294,747.296235294118,52821.7176470588,25473.9058823529
772,660,2019-04-14T18:00:00Z,31009.7540983607,747.355081967213,52825.6721311476,25475.8360655738
772,660,2019-04-14T19:00:00Z,31011.8644067797,747.41593220339,52829.7288135593,25477.8644067797
772,660,2019-04-14T20:00:00Z,31013.2631578947,747.458421052632,52832.2105263158,25479.6315789474
772,660,2019-04-14T21:00:00Z,31015.7894736842,747.515263157895,52836.6315789474,25480.8947368421
772,660,2019-04-14T22:00:00Z,31017.8333333333,747.556666666667,52839.75,25482.8333333333
772,660,2019-04-14T23:00:00Z,31018.9322033898,747.597288135593,52841.8644067797,25483.9322033898
772,660,2019-04-15T00:00:00Z,31021.8474576271,747.666440677966,52846.7457627119,25485.8983050847
772,660,2019-04-15T01:00:00Z,31023.868852459,747.70737704918,52848.868852459,25486.9344262295
772,660,2019-04-15T02:00:00Z,31025.8,747.748,52852.2,25488.6
772,660,2019-04-15T03:00:00Z,31029,747.82,52857,25491
772,660,2019-04-15T04:00:00Z,31030.6363636364,747.873636363636,52861,25492.6363636364
772,660,2019-04-15T05:00:00Z,31034.7272727273,747.982727272727,52868.5,25496.7272727273
772,660,2019-04-15T06:00:00Z,31037.8965517241,748.038275862069,52872.8620689655,25497.9655172414
772,660,2019-04-15T07:00:00Z,31041.7419354839,748.124193548387,52878.6129032258,25500.8064516129
772,660,2019-04-15T08:00:00Z,31044.8888888889,748.22,52885.3333333333,25504.4444444444
772,660,2019-04-15T09:00:00Z,31048.1454545455,748.294363636364,52890.2909090909,25506.2181818182
772,660,2019-04-15T10:00:00Z,31050.4864864865,748.362162162162,52894.8513513514,25509.3648648649
772,660,2019-04-15T11:00:00Z,31053.7297297297,748.443243243243,52900.527027027,25511.7972972973
772,660,2019-04-15T12:00:00Z,31054.9322033898,748.477966101695,52902.8644067797,25513.8644067797
772,660,2019-04-15T13:00:00Z,31057.8,748.536,52907.6666666667,25514.9333333333
772,660,2019-04-15T14:00:00Z,31059.8666666667,748.577333333333,52909.8666666667,25516.8666666667
772,660,2019-04-15T15:00:00Z,31061.4166666667,748.619722222222,52912.6944444445,25517.4166666667
772,660,2019-04-15T16:00:00Z,31063.9166666667,748.678055555556,52916.8611111111,25519.9166666667
772,660,2019-04-15T17:00:00Z,31064.935483871,748.717419354839,52918.8709677419,25520.935483871
772,660,2019-04-15T18:00:00Z,31068.7333333333,748.794666666667,52924.6,25522.8666666667
772,660,2019-04-15T19:00:00Z,31069.9655172414,748.828965517241,52926.9310344828,25523.9655172414
772,660,2019-04-15T20:00:00Z,31070.935483871,748.858064516129,52928.8709677419,25524.935483871
